from_zone,peak,to_zone,amount
1,True,1,900
1,True,3,1075
1,True,4,1250
1,True,7,1400
1,True,9,1675
1,True,10,1975
1,True,12,2350
1,True,14,2225
1,False,1,650
1,False,3,775
1,False,4,925
1,False,7,1025
1,False,9,1200
1,False,10,1425
1,False,12,1700
1,False,14,1525
3,True,1,1075
3,True,3,550
3,True,4,825
3,True,7,1000
3,True,9,1225
3,True,10,1525
3,True,12,1475
3,True,14,2600
3,False,1,775
3,False,3,400
3,False,4,600
3,False,7,725
3,False,9,900
3,False,10,1100
3,False,12,1000
3,False,14,1900
4,True,1,1250
4,True,3,825
4,True,4,325
4,True,7,325
4,True,9,600
4,True,10,750
4,True,12,1125
4,True,14,1775
4,False,1,925
4,False,3,600
4,False,4,325
4,False,7,325
4,False,9,600
4,False,10,750
4,False,12,1125
4,False,14,1775
7,True,1,1400
7,True,3,1000
7,True,4,325
7,True,7,325
7,True,9,325
7,True,10,600
7,True,12,1000
7,True,14,1650
7,False,1,1025
7,False,3,725
7,False,4,325
7,False,7,325
7,False,9,325
7,False,10,600
7,False,12,1000
7,False,14,1650
9,True,1,1675
9,True,3,1225
9,True,4,600
9,True,7,325
9,True,9,325
9,True,10,325
9,True,12,750
9,True,14,1350
9,False,1,1200
9,False,3,900
9,False,4,600
9,False,7,325
9,False,9,325
9,False,10,325
9,False,12,750
9,False,14,1350
10,True,1,1975
10,True,3,1525
10,True,4,750
10,True,7,600
10,True,9,325
10,True,10,325
10,True,12,325
10,True,14,950
10,False,1,1425
10,False,3,1100
10,False,4,750
10,False,7,600
10,False,9,325
10,False,10,325
10,False,12,325
10,False,14,950
12,True,1,2350
12,True,3,2025
12,True,4,1125
12,True,7,1000
12,True,9,750
12,True,10,325
12,True,12,325
12,True,14,650
12,False,1,1700
12,False,3,1475
12,False,4,1125
12,False,7,1000
12,False,9,750
12,False,10,325
12,False,12,325
12,False,14,650
14,True,1,3050
14,True,3,2600
14,True,4,1775
14,True,7,1650
14,True,9,1350
14,True,10,950
14,True,12,650
14,True,14,325
14,False,1,2225
14,False,3,1900
14,False,4,1775
14,False,7,1650
14,False,9,1350
14,False,10,950
14,False,12,650
14,False,14,325
91,True,1,900
91,True,3,1075
91,True,4,1250
91,True,7,1400
91,True,9,1675
91,True,10,1975
91,True,12,2350
91,True,14,2225
91,False,1,650
91,False,3,775
91,False,4,925
91,False,7,1025
91,False,9,1200
91,False,10,1425
91,False,12,1700
91,False,14,1525
93,True,1,1075
93,True,3,550
93,True,4,825
93,True,7,1000
93,True,9,1225
93,True,10,1525
93,True,12,1475
93,True,14,2600
93,False,1,775
93,False,3,400
93,False,4,600
93,False,7,725
93,False,9,900
93,False,10,1100
93,False,12,1000
93,False,14,1900
1,True,91,900
1,False,91,650
3,True,91,1075
3,False,91,775
4,True,91,1250
4,False,91,925
7,True,91,1400
7,False,91,1025
9,True,91,1675
9,False,91,1200
10,True,91,1975
10,False,91,1425
12,True,91,2350
12,False,91,1700
14,True,91,3050
14,False,91,2225
1,True,93,1075
1,False,93,775
3,True,93,550
3,False,93,400
4,True,93,825
4,False,93,600
7,True,93,1000
7,False,93,725
9,True,93,1225
9,False,93,900
10,True,93,1525
10,False,93,1100
12,True,93,2025
12,False,93,1475
14,True,93,2600
14,False,93,1900
91,False,91,500
91,True,91,500
91,False,93,500
91,True,93,500
93,False,91,500
93,True,91,500
93,False,93,400
93,True,93,500
