from_station_id,to_station_id,from_stop_id,from_stop_name,to_stop_id,to_stop_name,peak,offpeak
86,72,86,Katonah,72,Hartsdale,600,600
18,17,18,Yonkers,17,Ludlow,300,300
59,55,59,Woodlawn,55,Tremont,300,300
78,68,78,Valhalla,68,Crestwood,500,500
97,81,97,Patterson,81,Pleasantville,825,825
55,84,55,Tremont,84,Mount Kisco,800,800
19,18,19,Glenwood,18,Yonkers,300,300
11,14,11,Marble Hill,14,Spuyten Duyvil,300,300
84,4,84,Mount Kisco,4,Harlem-125th St.,1750,1325
61,100,61,Wakefield,100,HM Valley-Wingdale,1675,1675
81,78,81,Pleasantville,78,Valhalla,300,300
59,176,59,Woodlawn,176,Tenmile River,1800,1800
622,24,622,Yankees-E153 St.,24,Ardsley-on-Hudson,425,425
62,101,62,Mt Vernon West,101,Dover Plains,1525,1525
54,97,54,Melrose,97,Patterson,1450,1450
14,24,14,Spuyten Duyvil,24,Ardsley-on-Hudson,425,425
114,111,114,Rye,111,Mamaroneck,375,375
66,71,66,Tuckahoe,71,Scarsdale,300,300
85,84,85,Bedford Hills,84,Mount Kisco,300,300
97,58,97,Patterson,58,Williams Bridge,1450,1450
49,18,49,New Hamburg,18,Yonkers,1300,1300
89,54,89,Purdy's,54,Melrose,1150,1150
55,61,55,Tremont,61,Wakefield,300,300
1,90,1,Grand Central,90,Croton Falls,2000,1500
18,30,18,Yonkers,30,Scarborough,500,500
59,68,59,Woodlawn,68,Crestwood,300,300
30,4,30,Scarborough,4,Harlem-125th St.,1475,1125
176,64,176,Tenmile River,64,Fleetwood,1600,1600
80,90,80,Hawthorne,90,Croton Falls,675,675
25,11,25,Irvington,11,Marble Hill,425,425
622,1,622,Yankees-E153 St.,1,Grand Central,975,725
10,31,10,University Heights,31,Ossining,575,575
176,100,176,Tenmile River,100,HM Valley-Wingdale,300,300
62,78,62,Mt Vernon West,78,Valhalla,500,500
81,91,81,Pleasantville,91,Brewster,675,675
54,74,54,Melrose,74,White Plains,425,425
