agency_id,route_id
MTABC,BM1
MTABC,BM2
MTABC,BM3
MTABC,BM4
MTABC,BM5
MTABC,BXM1
MTABC,BXM10
MTABC,BXM11
MTABC,BXM18
MTABC,BXM2
MTABC,BXM3
MTABC,BXM4
MTABC,BXM6
MTABC,BXM7
MTABC,BXM8
MTABC,BXM9
MTA NYCT,SIM1
MTA NYCT,SIM1C
MTA NYCT,SIM2
MTA NYCT,SIM3
MTA NYCT,SIM3C
MTA NYCT,SIM4
MTA NYCT,SIM4X
MTA NYCT,SIM4C
MTA NYCT,SIM5
MTA NYCT,SIM6
MTA NYCT,SIM7
MTA NYCT,SIM8
MTA NYCT,SIM8X
MTA NYCT,SIM9
MTA NYCT,SIM10
MTA NYCT,SIM11
MTA NYCT,SIM15
MTA NYCT,SIM22
MTA NYCT,SIM23
MTA NYCT,SIM24
MTA NYCT,SIM25
MTA NYCT,SIM26
MTA NYCT,SIM30
MTA NYCT,SIM31
MTA NYCT,SIM32
MTA NYCT,SIM33
MTA NYCT,SIM33C
MTA NYCT,SIM34
MTA NYCT,SIM35
MTA NYCT,X27
MTA NYCT,X28
MTA NYCT,X37
MTA NYCT,X38
MTA NYCT,X63
MTA NYCT,X64
MTA NYCT,X68
MTABC,QM1
MTABC,QM10
MTABC,QM11
MTABC,QM12
MTABC,QM15
MTABC,QM16
MTABC,QM17
MTABC,QM18
MTABC,QM2
MTABC,QM20
MTABC,QM21
MTABC,QM24
MTABC,QM25
MTABC,QM3
MTABC,QM31
MTABC,QM32
MTABC,QM34
MTABC,QM35
MTABC,QM36
MTABC,QM4
MTABC,QM40
MTABC,QM42
MTABC,QM44
MTABC,QM5
MTABC,QM6
MTABC,QM7
MTABC,QM8
