fare_area_id,stop_id
nyct_subway_103_st_ind_8_av,nyct_subway_A18N
nyct_subway_103_st_ind_8_av,nyct_subway_A18S
nyct_subway_103_st_irt_lex_av,nyct_subway_624N
nyct_subway_103_st_irt_lex_av,nyct_subway_624S
nyct_subway_104_st_bmt_jamaica,nyct_subway_J14N
nyct_subway_104_st_bmt_jamaica,nyct_subway_J14S
nyct_subway_121_st,nyct_subway_J12N
nyct_subway_121_st,nyct_subway_J12S
nyct_subway_125_st_ind_8av,nyct_subway_A15N
nyct_subway_125_st_ind_8av,nyct_subway_A15S
nyct_subway_125th_st_irt_lex_av,nyct_subway_621N
nyct_subway_125th_st_irt_lex_av,nyct_subway_621S
nyct_subway_138_st,nyct_subway_416N
nyct_subway_138_st,nyct_subway_416S
nyct_subway_14th_st_6-7_av,nyct_subway_L02N
nyct_subway_14th_st_6-7_av,nyct_subway_L02S
nyct_subway_14th_st_6-7_av,nyct_subway_D19N
nyct_subway_14th_st_6-7_av,nyct_subway_D19S
nyct_subway_14th_st_6-7_av,nyct_subway_132N
nyct_subway_14th_st_6-7_av,nyct_subway_132S
nyct_subway_14th_st_8_av,nyct_subway_L01N
nyct_subway_14th_st_8_av,nyct_subway_L01S
nyct_subway_14th_st_8_av,nyct_subway_A31N
nyct_subway_14th_st_8_av,nyct_subway_A31S
nyct_subway_unsq,nyct_subway_635N
nyct_subway_unsq,nyct_subway_635S
nyct_subway_unsq,nyct_subway_R20N
nyct_subway_unsq,nyct_subway_R20S
nyct_subway_unsq,nyct_subway_L03N
nyct_subway_unsq,nyct_subway_L03S
nyct_subway_145_st_ind,nyct_subway_A12N
nyct_subway_145_st_ind,nyct_subway_A12S
nyct_subway_145_st_ind,nyct_subway_D13N
nyct_subway_145_st_ind,nyct_subway_D13S
nyct_subway_149_st_grand_concourse,nyct_subway_222N
nyct_subway_149_st_grand_concourse,nyct_subway_222S
nyct_subway_149_st_grand_concourse,nyct_subway_415N
nyct_subway_149_st_grand_concourse,nyct_subway_415S
nyct_subway_15_st_prospect_park,nyct_subway_F25N
nyct_subway_15_st_prospect_park,nyct_subway_F25S
nyct_subway_155_st_ind_8_av,nyct_subway_A11N
