tcId,transfers,duration,walkDistance,startTime,endTime,details
1,0,7924,75,08:18:16,10:30:20,WALK 0:44 - 87540 - BUS NX1 08:20 10:30 - 87244 - WALK 0:20
1,0,7312,61,09:28:28,11:30:20,WALK 0:32 - 28600 - BUS NW180 09:30 11:30 - 87244 - WALK 0:20
2,2,10892,1490,11:33:53,14:35:25,WALK 4:07 - 45504 - RAIL 41 11:39 13:01 - 17501 - WALK 11:54 - 21644 - BUS NW160 13:45 14:27 - 64736 - WALK 2:45 - 87178 - RAIL L1 14:31 14:35 - 82859 - WALK 0:25
2,3,10892,1365,11:33:53,14:35:25,WALK 4:07 - 45504 - RAIL 41 11:39 13:01 - 17501 - WALK 10:12 - 21799 - BUS 222 13:14 13:20 - 21642 - WALK 0:06 - 21644 - BUS NW160 13:45 14:27 - 64736 - WALK 2:45 - 87178 - RAIL L1 14:31 14:35 - 82859 - WALK 0:25
2,4,10892,1349,11:33:53,14:35:25,WALK 4:07 - 45504 - RAIL 41 11:39 13:01 - 17501 - WALK 9:59 - 21800 - BUS 222 13:17 13:18 - 21805 - BUS 222 13:28 13:35 - 21642 - WALK 0:06 - 21644 - BUS NW160 13:45 14:27 - 64736 - WALK 2:45 - 87178 - RAIL L1 14:31 14:35 - 82859 - WALK 0:25
2,1,11294,489,11:33:53,14:42:07,WALK 4:07 - 45504 - RAIL 41 11:39 14:22 - 62273 - WALK 2:07 - 62096 - RAIL L1 14:34 14:42 - 83035 - WALK 0:07
2,2,11852,413,11:33:53,14:51:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - WALK 0:17 - 87058 - RAIL L1 14:32 14:33 - 71289 - WALK 0:33 - 71236 - RAIL L1 14:44 14:51 - 82859 - WALK 0:25
2,2,12692,412,11:33:53,15:05:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:10 - 9750 - WALK 0:49 - 13621 - RAIL F2 14:22 14:47 - 16659 - RAIL L1 14:51 15:05 - 82859 - WALK 0:25
2,1,13652,417,11:33:53,15:21:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:45 - 49647 - WALK 0:53 - 47994 - RAIL L1 14:57 15:21 - 82859 - WALK 0:25
2,3,13934,389,11:33:53,15:26:07,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - WALK 0:17 - 87058 - RAIL L1 14:32 14:33 - 71289 - WALK 0:33 - 71236 - RAIL L1 14:44 15:01 - 62194 - RAIL L1 15:18 15:26 - 83035 - WALK 0:07
2,3,14894,388,11:33:53,15:42:07,WALK 4:07 - 45504 - RAIL 41 11:39 14:10 - 9750 - WALK 0:49 - 13621 - RAIL F2 14:22 14:47 - 16659 - RAIL L1 14:51 15:20 - 40127 - RAIL L1 15:27 15:42 - 83035 - WALK 0:07
2,1,15452,411,11:33:53,15:51:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:45 - 49647 - WALK 0:49 - 48874 - RAIL L1 15:27 15:51 - 82859 - WALK 0:25
2,2,15452,385,11:33:53,15:51:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - WALK 0:17 - 87058 - RAIL L1 14:32 15:02 - 56901 - WALK 0:12 - 56998 - RAIL L1 15:17 15:51 - 82859 - WALK 0:25
2,3,15452,382,11:33:53,15:51:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:22 - 62273 - RAIL L12 14:29 14:43 - 15230 - WALK 0:14 - 15449 - RAIL L1 14:46 15:02 - 56901 - WALK 0:12 - 56998 - RAIL L1 15:17 15:51 - 82859 - WALK 0:25
2,3,16292,363,11:33:53,16:05:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - RAIL L14 14:45 14:57 - 39817 - RAIL L1 15:06 15:17 - 56901 - WALK 0:12 - 56998 - RAIL L1 15:32 16:05 - 82859 - WALK 0:25
2,2,17252,364,11:33:53,16:21:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - RAIL L14 14:45 15:14 - 66572 - WALK 0:12 - 1610 - RAIL L1 15:25 16:21 - 82859 - WALK 0:25
2,3,17252,348,11:33:53,16:21:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:22 - 62273 - RAIL L12 14:29 15:17 - 37332 - RAIL F2 15:30 16:04 - 16659 - RAIL L1 16:07 16:21 - 82859 - WALK 0:25
2,4,18494,339,11:33:53,16:42:07,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - RAIL L14 14:45 14:57 - 39817 - RAIL L1 15:06 15:17 - 56901 - WALK 0:12 - 56998 - RAIL L1 15:32 16:20 - 40127 - RAIL L1 16:27 16:42 - 83035 - WALK 0:07
2,3,19334,340,11:33:53,16:56:07,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - RAIL L14 14:45 15:14 - 66572 - WALK 0:12 - 1610 - RAIL L1 15:25 16:31 - 62194 - RAIL L1 16:48 16:56 - 83035 - WALK 0:07
2,4,19334,324,11:33:53,16:56:07,WALK 4:07 - 45504 - RAIL 41 11:39 14:22 - 62273 - RAIL L12 14:29 15:17 - 37332 - RAIL F2 15:30 16:04 - 16659 - RAIL L1 16:07 16:31 - 62194 - RAIL L1 16:48 16:56 - 83035 - WALK 0:07
2,2,19892,348,11:33:53,17:05:25,WALK 4:07 - 45504 - RAIL 41 11:39 14:29 - 87228 - RAIL L14 14:45 15:14 - 66572 - RAIL L1 16:10 17:05 - 82859 - WALK 0:25
2,3,19384,250,11:42:21,17:05:25,WALK 1:39 - 20620 - BUS 604 11:45 12:50 - 10605 - WALK 0:09 - 10609 - BUS NW161 13:45 16:36 - 69727 - BUS 24 16:39 16:43 - 3830 - WALK 1:04 - 15340 - RAIL L1 16:47 17:05 - 82859 - WALK 0:25
2,4,20344,246,11:42:21,17:21:25,WALK 1:39 - 20620 - BUS 604 11:45 12:50 - 10605 - WALK 0:09 - 10609 - BUS NW161 13:45 16:36 - 69727 - BUS 130 16:41 16:47 - 3843 - BUS 130 16:53 16:57 - 69621 - WALK 1:02 - 16659 - RAIL L1 17:07 17:21 - 82859 - WALK 0:25
2,6,21184,244,11:42:21,17:35:25,WALK 1:39 - 20620 - BUS 604 11:45 12:50 - 10605 - WALK 0:09 - 10609 - BUS NW161 13:45 16:36 - 69727 - BUS 130 16:41 16:47 - 3843 - BUS 130 16:53 16:54 - 3823 - WALK 0:24 - 15449 - RAIL L2 16:56 17:03 - 47776 - WALK 0:35 - 48874 - RAIL L22 17:05 17:11 - 15340 - RAIL L1 17:17 17:35 - 82859 - WALK 0:25
2,4,21586,226,11:42:21,17:42:07,WALK 1:39 - 20620 - BUS 604 11:45 12:50 - 10605 - WALK 0:09 - 10609 - BUS NW161 13:45 16:36 - 69727 - BUS 24 16:39 16:43 - 3830 - WALK 1:04 - 15340 - RAIL L1 16:47 17:20 - 40127 - RAIL L1 17:27 17:42 - 83035 - WALK 0:07
2,5,22426,222,11:42:21,17:56:07,WALK 1:39 - 20620 - BUS 604 11:45 12:50 - 10605 - WALK 0:09 - 10609 - BUS NW161 13:45 16:36 - 69727 - BUS 130 16:41 16:47 - 3843 - BUS 130 16:53 16:57 - 69621 - WALK 1:02 - 16659 - RAIL L1 17:07 17:31 - 62194 - RAIL L1 17:48 17:56 - 83035 - WALK 0:07
2,5,22984,213,11:42:21,18:05:25,WALK 1:39 - 20620 - BUS 604 11:45 12:50 - 10605 - WALK 0:09 - 10609 - BUS NW161 13:45 16:36 - 69727 - BUS 130 16:41 16:47 - 3843 - BUS 130 16:53 16:54 - 3823 - WALK 0:24 - 15449 - RAIL L1 17:02 17:17 - 56901 - WALK 0:12 - 56998 - RAIL L1 17:32 18:05 - 82859 - WALK 0:25
