tcId,transfers,duration,walkDistance,startTime,endTime,details
1,0,7924,75,08:18:16,10:30:20,WALK 0:44 - 87540 - BUS NX1 08:20 10:30 - 87244 - WALK 0:20
1,1,7718,117,09:28:28,11:37:06,WALK 0:32 - 28600 - BUS NW180 09:30 11:10 - 62395 - BUS 160 11:13 11:36 - 3964 - WALK 1:06
2,2,10892,1490,11:33:53,14:35:25,WALK 4:07 - 45504 - RAIL 41 11:39 13:01 - 17501 - WALK 11:54 - 21644 - BUS NW160 13:45 14:27 - 64736 - WALK 2:45 - 87178 - RAIL L1 14:31 14:35 - 82859 - WALK 0:25
2,1,11294,489,11:33:53,14:42:07,WALK 4:07 - 45504 - RAIL 41 11:39 14:22 - 62273 - WALK 2:07 - 62096 - RAIL L1 14:34 14:42 - 83035 - WALK 0:07
3,0,1853,214,08:07:13,08:38:06,WALK 1:47 - 70077 - BUS 250 08:10 08:37 - 3964 - WALK 1:06
3,1,1687,158,08:22:13,08:50:20,WALK 1:47 - 70077 - BUS 250 08:25 08:33 - 57786 - BUS NX1 08:36 08:50 - 87244 - WALK 0:20
3,0,1793,214,08:49:13,09:19:06,WALK 1:47 - 70077 - BUS 250 08:52 09:18 - 3964 - WALK 1:06
3,1,1567,158,09:04:13,09:30:20,WALK 1:47 - 70077 - BUS 250 09:07 09:16 - 69727 - BUS NX175 09:20 09:30 - 87244 - WALK 0:20
4,2,12937,495,16:28:59,20:04:36,WALK 0:01 - 45481 - BUS 305 16:30 17:05 - 36858 - BUS 630 18:05 18:58 - 20438 - WALK 0:49 - 20377 - BUS NX6 19:25 19:59 - 23803 - WALK 5:36
5,2,8351,751,13:08:50,15:28:01,WALK 0:10 - 6327 - BUS 418 13:10 13:37 - 31391 - WALK 4:58 - 29502 - RAIL L22 13:54 14:03 - 60900 - WALK 3:35 - 11938 - BUS 400 15:05 15:27 - 8015 - WALK 1:01
5,1,9731,250,13:08:50,15:51:01,WALK 0:10 - 6327 - BUS 418 13:10 13:37 - 31391 - WALK 2:07 - 31373 - BUS 401 15:25 15:50 - 8015 - WALK 1:01
6,1,6354,65,09:04:54,10:50:48,WALK 0:06 - 84995 - BUS 2931 09:06 09:30 - 84629 - BUS 350 10:00 10:50 - 71176 - WALK 0:48
7,3,3871,921,08:08:38,09:13:09,WALK 0:22 - 4488 - BUS 81 08:10 08:15 - 4426 - WALK 2:10 - 39533 - RAIL L2x 08:20 08:29 - 47994 - WALK 4:48 - 64152 - SUBWAY 5 08:36 08:48 - 3136 - WALK 4:24 - 3151 - BUS 56 08:57 09:13 - 4248 - WALK 0:09
7,2,4171,819,08:33:38,09:43:09,WALK 0:22 - 4488 - BUS 81 08:35 08:59 - 1216 - WALK 5:40 - 64152 - SUBWAY 5 09:06 09:18 - 3136 - WALK 4:24 - 3151 - BUS 56 09:27 09:43 - 4248 - WALK 0:09
8,3,26582,575,08:29:59,15:53:01,WALK 0:01 - 7091 - BUS 752 08:31 08:50 - 7080 - BUS 751 09:00 11:07 - 5233 - WALK 6:37 - 9929 - RAIL 25 12:35 15:19 - 47009 - WALK 0:44 - 6421 - BUS 992 15:46 15:53 - 6503 - WALK 0:01
9,0,2098,1518,08:06:18,08:41:16,WALK 8:42 - 15806 - BUS 4 08:16 08:30 - 16296 - WALK 11:16
9,1,2038,1587,08:22:18,08:56:16,WALK 8:42 - 15806 - BUS 211 08:32 08:35 - 16049 - WALK 0:53 - 16041 - BUS 4 08:40 08:45 - 16296 - WALK 11:16
9,0,1759,632,08:28:44,08:58:03,WALK 2:16 - 15864 - BUS 2 08:32 08:52 - 16258 - WALK 6:03
10,2,7950,2217,08:08:46,10:21:16,WALK 2:14 - 18041 - BUS 52 08:12 08:49 - 21309 - WALK 5:35 - 1197 - RAIL 41 09:00 09:52 - 17501 - WALK 9:31 - 498 - BUS 701 10:05 10:10 - 22269 - WALK 11:16
10,2,7283,139,08:57:59,10:59:22,WALK 0:01 - 32430 - RAIL L12 08:59 09:40 - 16388 - WALK 1:27 - 69663 - BUS NX170 09:51 10:45 - 21640 - BUS 228 10:52 10:59 - 19125 - WALK 0:22
10,1,12213,1966,09:57:59,13:21:32,WALK 0:01 - 32430 - RAIL L12 09:59 11:17 - 37332 - WALK 6:53 - 86038 - BUS FB20 12:00 13:03 - 22256 - WALK 18:32
11,1,5154,448,08:30:29,09:56:23,WALK 5:31 - 26209 - BUS 02 08:37 09:10 - 23054 - BUS 124 09:15 09:56 - 25341 - WALK 0:23
12,0,2005,1873,08:32:23,09:05:48,WALK 11:37 - 15661 - RAIL R11 08:45 08:53 - 12965 - WALK 12:48
13,0,3062,0,10:03:59,10:55:01,WALK 0:01 - 30590 - BUS 103 10:05 10:55 - 34276 - WALK 0:01
14,2,18118,395,09:28:45,14:30:43,WALK 0:15 - 37391 - BUS E90 09:30 10:00 - 41686 - WALK 2:43 - 4626 - RAIL 50 11:20 11:59 - 24542 - WALK 1:28 - 38787 - BUS 98 14:05 14:30 - 37855 - WALK 0:43
14,1,20776,17,09:28:45,15:15:01,WALK 0:15 - 37391 - BUS E90 09:30 10:00 - 41684 - BUS 98 14:35 15:15 - 37856 - WALK 0:01
15,1,2336,1307,08:02:43,08:41:39,WALK 0:17 - 47603 - BUS 19 08:04 08:17 - 45724 - WALK 3:59 - 45620 - BUS 2 08:24 08:29 - 45567 - WALK 12:39
15,1,2298,331,08:07:43,08:46:01,WALK 0:17 - 47603 - BUS 19 08:09 08:22 - 45724 - WALK 3:59 - 45620 - BUS 11 08:34 08:46 - 42332 - WALK 0:01
15,1,1698,331,08:47:43,09:16:01,WALK 0:17 - 47603 - BUS 19 08:49 08:59 - 45724 - WALK 3:59 - 45620 - BUS 11 09:04 09:16 - 42332 - WALK 0:01
16,0,5807,1215,14:38:25,16:15:12,WALK 15:35 - 53922 - BUS 14-131 14:55 16:15 - 57514 - WALK 0:12
17,0,2740,1053,08:13:59,08:59:39,WALK 0:01 - 63496 - BUS 603 08:15 08:46 - 61405 - WALK 13:39
18,1,30633,878,09:14:28,17:45:01,WALK 4:32 - 64879 - BUS 460 09:20 10:01 - 66435 - WALK 6:49 - 66425 - BUS 320 16:15 17:45 - 66716 - WALK 0:01
19,1,31433,509,08:01:59,16:45:52,WALK 0:01 - 69618 - BUS 1030 08:03 09:49 - 69013 - WALK 5:43 - 69103 - BUS 1200 15:30 16:45 - 70877 - WALK 0:52
20,0,537,457,08:36:04,08:45:01,WALK 5:56 - 87021 - BUS 240 08:43 08:45 - 86934 - WALK 0:01
21,1,6972,12,09:08:59,11:05:11,WALK 0:01 - 86668 - BUS 66 09:10 09:45 - 86661 - BUS 63 10:00 11:05 - 85479 - WALK 0:11
21,0,7844,1056,14:09:27,16:20:11,WALK 13:33 - 86600 - BUS 63 14:24 16:20 - 85479 - WALK 0:11
22,2,17168,2538,09:11:04,13:57:12,WALK 17:56 - 1 - RAIL 22 09:30 10:55 - 62749 - WALK 0:27 - 62842 - RAIL R10 11:14 13:26 - 48655 - WALK 4:17 - 64236 - BUS 74 13:38 13:47 - 4163 - WALK 10:12
22,1,15440,2482,11:09:52,15:27:12,WALK 18:08 - 42242 - RAIL 21 11:29 15:03 - 49316 - WALK 3:51 - 64236 - BUS 74 15:08 15:17 - 4163 - WALK 10:12
